Row ID;Order ID;Order Date;Ship Date;Ship Mode;Customer ID;Segment;Postal Code;Product ID;Sales;Quantity;Discount;Profit
1;CA-2020-103800;03/01/2020;07/01/2020;Standard Class;DP-13000;Consumer;77095;OFF-PA-10000174;16.448;2;0.2;5.5512
2;CA-2020-112326;04/01/2020;08/01/2020;Standard Class;PO-19195;Home Office;60540;OFF-LA-10003223;11.784;3;0.2;4.2717
3;CA-2020-112326;04/01/2020;08/01/2020;Standard Class;PO-19195;Home Office;60540;OFF-ST-10002743;272.736;3;0.2;-64.7748
4;CA-2020-112326;04/01/2020;08/01/2020;Standard Class;PO-19195;Home Office;60540;OFF-BI-10004094;3.54;2;0.8;-5.487
5;CA-2020-141817;05/01/2020;12/01/2020;Standard Class;MB-18085;Consumer;19143;OFF-AR-10003478;19.536;3;0.2;4.884
6;CA-2020-106054;06/01/2020;07/01/2020;First Class;JO-15145;Corporate;30605;OFF-AR-10002399;12.78;3;0.0;5.2398
7;CA-2020-130813;06/01/2020;08/01/2020;Second Class;LS-17230;Consumer;90049;OFF-PA-10002005;19.44;3;0.0;9.3312
8;CA-2020-167199;06/01/2020;10/01/2020;Standard Class;ME-17320;Home Office;42420;FUR-CH-10004063;2573.82;9;0.0;746.4078
9;CA-2020-167199;06/01/2020;10/01/2020;Standard Class;ME-17320;Home Office;42420;OFF-BI-10004632;609.98;2;0.0;274.491
10;CA-2020-167199;06/01/2020;10/01/2020;Standard Class;ME-17320;Home Office;42420;OFF-AR-10001662;5.48;2;0.0;1.4796
11;CA-2020-167199;06/01/2020;10/01/2020;Standard Class;ME-17320;Home Office;42420;TEC-PH-10004977;391.98;2;0.0;113.6742
12;CA-2020-167199;06/01/2020;10/01/2020;Standard Class;ME-17320;Home Office;42420;TEC-PH-10004539;755.96;4;0.0;204.1092
13;CA-2020-167199;06/01/2020;10/01/2020;Standard Class;ME-17320;Home Office;42420;OFF-FA-10001883;31.12;4;0.0;0.3112
